,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
,100,C1_SS_MLK_NE08_1,C1_SS_MLK_NE08_1,สฟฟ.มวกเหล็ก,สฟฟ.มวกเหล็ก,สฟฟ.มวกเหล็ก,10.10.50.212,NE08E-S6E,4,C1,MLK,,,,,
,101,C1_SS_WAM_NE08_1,C1_SS_WAM_NE08_1,สฟฟ.วังม่วง,สฟฟ.วังม่วง,สฟฟ.วังม่วง,10.10.50.213,NE08E-S6E,4,C1,WAM,,,,,
,102,C1_E0_PJA_NE08_1,C1_EO_PPT_NE08_1,กฟอ.พระพุทธบาท,กฟอ.พระพุทธบาท,กฟอ.พระพุทธบาท,10.10.50.214,NE08E-S6E,4,C1,PPT,,,,,
,103,C1_SS_RCQ_NE08_1,New_C1_SS_RCQ_NE08_1,สฟฟ.โรจนะ 3,สฟฟ.โรจนะ 3,สฟฟ.โรจนะ 3,10.10.50.215,NE08E-S6E,4,C1,RCQ,,,,,
,104,C1_SS_RCR_NE08_1,New_C1_SS_RCR_NE08_1,สฟฟ.โรจนะ 4,สฟฟ.โรจนะ 4,สฟฟ.โรจนะ 4,10.10.50.216,NE08E-S6E,4,C1,RCR,,,,,
,105,C1_SS_BLS_NE08_1,New_C1_SS_BLS_NE08_1,สฟฟ.บ้านลาดทราย,สฟฟ.บ้านลาดทราย,สฟฟ.บ้านลาดทราย,10.10.50.217,NE08E-S6E,4,C1,BLS,,,,,
,106,C1_SS_WAB_NE08_1,C1_SS_WAB_NE8K_1,สฟฟ.วังน้อย2,สฟฟ.วังน้อย2,สฟฟ.วังน้อย 2 (ช),10.10.50.218,NetEngine 8000 M6,4,C1,WAB,,,,,
,107,C1_SS_SRD_NE08_1,New_C1_SS_SRD_NE08_1,สฟฟ.สระบุรี 4,สฟฟ.สระบุรี 4,สฟฟ.สระบุรี 4,10.10.50.219,NE08E-S6E,4,C1,RSD,,,,,
,108,C1_EO_SEN_NE08_1,C1_EO_SEN_NE08_1,กฟอ.เสนา(DE.Sena),กฟอ.เสนา,กฟอ.เสนา,10.10.50.22,NE08E-S6,1,C1,SEN,,,,,
,109,C1_SS_PJA_NE08_1,C1_SS_PJA_NE08_1,สฟฟ.พระพุทธบาท 1,สฟฟ.พระพุทธบาท 1,สฟฟ.พระพุทธบาท 1,10.10.50.220,NE08E-S6E,4,C1,PJA,,,,,
