,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
,453,C3_EO_SPC_NE08_1,New_C3_EO_SPC_NE08_1,กฟอ.ศรีประจันต์,กฟอ.ศรีประจันต์,กฟส.ศรีประจันต์,10.10.54.19,NE08E-S6E,11,C3,SPC,,,,,
,454,C2_EO_CBA_NE08_1,New_C2_EO_CBA_NE08_1,กฟจ.ชลบุรี,กฟจ.ชลบุรี,กฟจ.ชลบุรี,10.10.54.193,NE08E-S6E,14,C2,CBA,,,,,
,455,C2_SS_CBB_NE08_1,New_C2_SS_CBB_NE08_1,สฟฟ.ชลบุรี 2,สฟฟ.ชลบุรี 2,สฟฟ.ชลบุรี 2,10.10.54.194,NE08E-S6E,14,C2,CBB,,,,,
,456,C2_SS_AKA_NE08_1,New_C2_SS_AKA_NE08_1,สฟฟ.อมตะนคร,สฟฟ.อมตะนคร,สฟฟ.อมตะนคร,10.10.54.195,NE08E-S6E,14,C2,AKA,,,,,
,457,C2_SS_PTO_NE08_1,New_C2_SS_PTO_NE08_1,สฟฟ.พานทอง,สฟฟ.พานทอง,สฟฟ.พานทอง 1,10.10.54.196,NE08E-S6E,14,C2,PTO,,,,,
,458,C2_EO_PSA_NE08_1,New_C2_EO_PSA_NE08_1,กฟอ.พนัสนิคม,กฟอ.พนัสนิคม,กฟอ.พนัสนิคม,10.10.54.197,NE08E-S6E,14,C2,PSA,,,,,
,459,C2_SS_PTP_NE08_1,New_C2_SS_PTP_NE08_1,สฟฟ.พานทอง 2,สฟฟ.พานทอง 2,สฟฟ.พานทอง 2,10.10.54.198,NE08E-S6E,14,C2,PTP,,,,,
,460,C2_SS_BGP_NE08_1,New_C2_SS_BGP_NE08_1,สฟฟ.บางปะกง,สฟฟ.บางปะกง,สฟฟ.บางปะกง,10.10.54.199,NE08E-S6E,14,C2,BGP,,,,,
,461,C3_SS_TMK_NE08_1,C3_SS_TMK_NE08_1,สฟฟ.ท่ามะกา(ES.Tha Maka),สฟฟ.ท่ามะกา,สฟฟ.ท่ามะกา,10.10.54.2,NE08E-S6,11,C3,TMK,,,,,
,462,C3_EO_NYC_NE08_1,C3_EO_NYC_NE08_1,กฟอ.หนองหญ้าไซ,กฟอ.หนองหญ้าไซ,กฟส.หนองหญ้าไซ,10.10.54.20,NE08E-S6E,11,C3,NYC,,,,,
,463,C2_SS_CBC_NE08_1,New_C2_SS_CBC_NE08_1,สฟฟ.ชลบุรี 3,สฟฟ.ชลบุรี 3,สฟฟ.ชลบุรี 3,10.10.54.200,NE08E-S6E,14,C2,CBC,,,,,
,464,C2_SS_AKC_NE08_1,New_C2_SS_AKC_NE08_1,สฟฟ.อมตะนคร3,สฟฟ.อมตะนคร3,สฟฟ.อมตะนคร 3,10.10.54.201,NE08E-S6E,14,C2,AKC,,,,,
,465,C2_EO_PTO_NE08_1,New_C2_EO_PTO_NE08_1,กฟอ.พานทอง,กฟอ.พานทอง,กฟอ.พานทอง,10.10.54.202,NE08E-S6E,14,C2,PTO,,,,,
,466,C2_SS_PSA_NE08_1,New_C2_SS_PSA_NE08_1,สฟฟ.พนัสนิคม,สฟฟ.พนัสนิคม,สฟฟ.พนัสนิคม,10.10.54.203,NE08E-S6E,14,C2,PSA,,,,,
,467,New_C2_SS_KPO_NE08_2,C2_SS_KPO_NE8K_2,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,สฟฟ.เกาะโพธิ์,10.10.54.204,NetEngine 8000 M6,14,C2,KPO,,,,,
,468,New_C2_SS_CBA_NE08_2,New_C2_SS_CBA_NE08_2,สฟฟ.ชลบุรี 1,สฟฟ.ชลบุรี 1,สฟฟ.ชลบุรี 1,10.10.54.205,NE08E-S6,14,C2,CBA,,,,,
,469,C2_SS_BBC_NE8K_1,New_C2_SS_BBC_NE8K_1,สฟฟ.บ้านบึง 3 ชั่วคราว,สฟฟ.บ้านบึง 3 ชั่วคราว,สฟฟ.บ้านบึง 3 (ชั่วคราว),10.10.54.206,NetEngine 8000 M6,14,C2,BBC,,,,,
,470,C2_SS_AKB_NE8K_1,New_C2_SS_AKB_NE8K_1,สฟฟ.อมตะนคร 2,สฟฟ.อมตะนคร 2,สฟฟ.อมตะนคร 2,10.10.54.207,NetEngine 8000 M6,14,C2,AKB,,,,,
,471,C2_SS_CBD_NE8K_1,C2_SS_CBD_NE8K_1,สฟฟ.ชลบุรี 4,สฟฟ.ชลบุรี 4,สฟฟ.ชลบุรี 4,10.10.54.208,NetEngine 8000 M6,14,C2,CBD,,,,,
,472,C2_SS_BBD_NE8K_1,C2_SS_BBD_NE8K_1,สฟฟ.บ้านบึง 4,สฟฟ.บ้านบึง 4,สฟฟ.บ้านบึง 4,10.10.54.209,NetEngine 8000 M6,14,C2,BBD,,,,,
,473,New_C3_EO_SMG_NE08_1,New_C3_EO_SMG_NE08_1,กฟอ.สามชุก,กฟอ.สามชุก,กฟส.สามชุก,10.10.54.21,NE08E-S6E,11,C3,SMG,,,,,
,474,C2_HV_BBA_NE08_1,C2_HV_BBA_NE08_1,สฟฟ.บ้านบึง (ลานไก),สฟฟ.บ้านบึง (ลานไก),สฟฟ.บ้านบึง (ลานไก),10.10.54.210,NE08E-S6,14,C2,BBA,,,,,
,475,C3_SS_DBA_NE08_1,New_C3_SS_DBA_NE08_1,สฟฟ.เดิมบางนางบวช,สฟฟ.เดิมบางนางบวช,สฟฟ.เดิมบางนางบวช,10.10.54.22,NE08E-S6E,11,C3,DBA,,,,,
,476,C3_EO_DBA_NE08_1,New_C3_EO_DBA_NE08_1,กฟอ.เดิมบางนางบวช,กฟอ.เดิมบางนางบวช,กฟอ.เดิมบางนางบวช,10.10.54.23,NE08E-S6E,11,C3,DBA,,,,,
,477,C3_SS_DAA_NE08_1,New_C3_SS_DAA_NE08_1,สฟฟ.ด่านช้าง,สฟฟ.ด่านช้าง,สฟฟ.ด่านช้าง,10.10.54.24,NE08E-S6E,11,C3,DAA,,,,,
,478,C3_EO_SPN_NE08_1,New_C3_EO_SPN_NE08_1,กฟอ.สองพี่น้อง,กฟอ.สองพี่น้อง,กฟส.สองพี่น้อง,10.10.54.25,NE08E-S6E,11,C3,SPN,,,,,
,479,C3_EO_TQA_NE08_1,New_C3_EO_TQA_NE08_1,กฟย.ทุ่งคอก,กฟย.ทุ่งคอก,กฟย.ทุ่งคอก,10.10.54.26,NE08E-S6E,11,C3,TQA,,,,,
,480,C3_WH_SPA_NE08_1,New_C3_WH_SPA_NE08_1,คลังพัสดุสุพรรณบุรี,คลังพัสดุสุพรรณบุรี,คลังพัสดุสุพรรณบุรี,10.10.54.27,NE08E-S6E,11,C3,SPA,,,,,
,481,C3_EO_HKC_NE80_1,New_C3_EO_HKC_NE08_1,กฟย.ห้วยกระเจา,กฟย.ห้วยกระเจา,กฟย.ห้วยกระเจา,10.10.54.28,NE08E-S6E,11,C3,HKC,,,,,
,482,C3_EO_NPR_NE80_1,New_C3_EO_NPR_NE08_1,กฟย.หนองปรือ,กฟย.หนองปรือ,กฟย.หนองปรือ,10.10.54.29,NE08E-S6E,11,C3,NPR,,,,,
,483,C3_EO_WH_KCI_NE08_1,C3_EO_WH_KCI_NE08_1,กฟจ.กาญจนบุรี (คลังพัสดุ)(PE.Kanchanaburi (Warehouse)),กฟจ.กาญจนบุรี ,กฟจ.กาญจนบุรี ,10.10.54.3,NE08E-S6,11,C3,WH,,,,,
,484,C3_SS_SPO_NE08_1,New_C3_SS_SPO_NE08_1,สฟฟ.สองพี่น้อง 2,สฟฟ.สองพี่น้อง 2,สฟฟ.สองพี่น้อง 2,10.10.54.30,NE08E-S6E,11,C3,SPO,,,,,
,485,C3_EO_MKS_NE80_1,New_C3_EO_MKS_NE08_1,กฟย.มะขามล้ม,กฟย.มะขามล้ม,กฟย.มะขามล้ม,10.10.54.31,NE08E-S6E,11,C3,MKS,,,,,
,486,C3_EO_BLG_NE80_1,New_C3_EO_BLG_NE08_1,กฟย.บางหลวง,กฟย.บางหลวง,กฟย.บางหลวง,10.10.54.32,NE08E-S6E,11,C3,BLG,,,,,
,487,C3_EO_LUK_NE08_1,New_C3_EO_LUK_NE08_1,กฟส.เลาขวัญ,กฟส.เลาขวัญ,กฟส.เลาขวัญ ,10.10.54.33,NE08E-S6E,11,C3,LUK,,,,,
,488,C3_SS_UTG_NE08_2,C3_SS_UTO_NE8K_2,สฟฟ.อู่ทอง,สฟฟ.อู่ทอง,สฟฟ.อู่ทอง,10.10.54.34,NetEngine 8000 M6,11,C3,UTO,,,,,
,489,C3_SS_PTU_NE8K_1,New_C3_SS_PTU_NE8K_1,สฟฟ.พนมทวน (แทรกกลาง),สฟฟ.พนมทวน (แทรกกลาง),สฟฟ.พนมทวน,10.10.54.35,NetEngine 8000 M6,11,C3,PTU,,,,,
,490,C3_SS_SPB_NE8K_1,New_C3_SS_SPB_NE8K_1,สฟฟ.สุพรรณบุรี 2 (แทรกกลาง),สฟฟ.สุพรรณบุรี 2 (แทรกกลาง),สฟฟ.สุพรรณบุรี 2,10.10.54.36,NetEngine 8000 M6,11,C3,SPB,,,,,
,491,C3_SS_SPC_NE8K_1,New_C3_SS_SPC_NE8K_1,สฟฟ.ศรีประจันต์,สฟฟ.ศรีประจันต์,สฟฟ.ศรีประจันต์,10.10.54.37,NetEngine 8000 M6,11,C3,SPC,,,,,
,492,C3_SS_LUK_NE8K_1,C3_SS_LUK_NE08_1,สฟฟ.เลาขวัญ (แทรกกลาง),สฟฟ.เลาขวัญ (แทรกกลาง),สฟฟ.เลาขวัญ,10.10.54.38,NE08E-S6E,11,C3,LUK,,,,,
,493,C3_SS_BOU_NE8K_1,New_C3_SS_BOU_NE8K_1,สฟฟ.หนองปรือ (แทรกกลาง),สฟฟ.หนองปรือ (แทรกกลาง),สฟฟ.หนองปรือ,10.10.54.39,NetEngine 8000 M6,11,C3,BOU,,,,,
,494,C3_EO_PNN_NE08_1,C3_EO_PNN_NE08_1,กฟอ.พนมทวน(DE.Phanom Thuan),กฟอ.พนมทวน,กฟอ.พนมทวน,10.10.54.4,NE08E-S6,11,C3,PNN,,,,,
,495,C3_SS_UTG_NE08_1,C3_SS_UTO_NE08_1,สฟฟ.อู่ทอง(ES.U Thong),สฟฟ.อู่ทอง,สฟฟ.อู่ทอง,10.10.54.5,NE08E-S6,11,C3,UTO,,,,,
,496,C3_EO_ST_NE08_1,C3_EO_ST_NE08_1,กฟย.สวนแตง(ESS.Suan Taeng),กฟย.สวนแตง,กฟย.สวนแตง,10.10.54.6,NE08E-S6,11,C3,ST,,,,,
,497,C3_ADDC_EO_NKM_NE08_1,C3_ADDC_EO_NPM_NE08_1,ศจฟ. กฟก.3 (นครปฐม) (EDC. C.3 (Nakhon Pathom)),ศจฟ. กฟก.3 ,ศจฟ.กฟก.3,10.10.54.64,NE08E-S6,12,C3,NPM,,,,,
,498,C3_EO_NKM_NE08_1,C3_EO_NPM_NE08_1,กฟจ.นครปฐม(PE.Nakhon Pathom),กฟจ.นครปฐม,กฟจ.นครปฐม,10.10.54.65,NE08E-S6,12,C3,NPM,,,,,
,499,C3_SS_BPA_NE08_1,C3_SS_BPA_NE08_1,สฟฟ.บ้านโป่ง 1(ES.Ban Pong 1),สฟฟ.บ้านโป่ง 1,สฟฟ.บ้านโป่ง 1,10.10.54.66,NE08E-S6,12,C3,BPA,,,,,
,500,C3_SS_BPB_NE08_2,C3_SS_BPB_NE08_2,สฟฟ.บ้านโป่ง 2(ES.Ban Pong 2),สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,10.10.54.67,NE08E-S6,12,C3,BPB,,,,,
,501,C3_SS_NPU_NE08_1,C3_SS_NPU_NE08_1,สฟฟ.นครปฐม 2(ES.Nakhon Pathom 2),สฟฟ.นครปฐม 2,สฟฟ.นครปฐม 2,10.10.54.68,NE08E-S6,12,C3,NPU,,,,,
,502,C3_SS_KSA_NE08_1,C3_SS_KSA_NE08_1,สฟฟ.กำแพงแสน(ES.Kamphaeng Saen),สฟฟ.กำแพงแสน,สฟฟ.กำแพงแสน,10.10.54.69,NE08E-S6,12,C3,KSA,,,,,
,503,C3_EO_SPI_NE08_1,C3_EO_SPI_NE08_1,กฟจ.สุพรรณบุรี(PE.Suphan Buri),กฟจ.สุพรรณบุรี,กฟจ.สุพรรณบุรี,10.10.54.7,NE08E-S6,11,C3,SPI,,,,,
,504,C3_EO_KPN_NE08_1,C3_EO_KPN_NE08_1,กฟอ.กำแพงแสน(DE.Kamphaeng Saen),กฟอ.กำแพงแสน,กฟอ.กำแพงแสน,10.10.54.70,NE08E-S6,12,C3,KPN,,,,,
,505,C3_SS_BEA_NE08_2,C3_SS_BEA_NE8K_2,สฟฟ.บางเลน(ES.Bang len),สฟฟ.บางเลน,สฟฟ.บางเลน,10.10.54.71,NetEngine 8000 M6,12,C3,BEA,,,,,
,506,C3_EO_BLN_NE08_1,C3_EO_BLN_NE08_1,กฟอ.บางเลน(DE.Bang len),กฟอ.บางเลน,กฟอ.บางเลน,10.10.54.72,NE08E-S6,12,C3,BLN,,,,,
,507,C3_SS_SLY_NE08_1,C3_SS_SLY_NE08_1,สฟฟ.ศาลายา(ES.Sala Ya),สฟฟ.ศาลายา,สฟฟ.ศาลายา,10.10.54.73,NE08E-S6,12,C3,SLY,,,,,
,508,C3_SS_PMB_NE08_1,C3_SS_PMB_NE08_1,สฟฟ.พุทธมณฑล 2(ES.Phuttamonthon 2),สฟฟ.พุทธมณฑล 2,สฟฟ.พุทธมณฑล 2,10.10.54.74,NE08E-S6,12,C3,PMB,,,,,
,509,C3_EO_DOT_NE08_1,C3_EO_DOT_NE08_1,กฟอ.ดอนตูม(DE.Don Tum),กฟอ.ดอนตูม,กฟอ.ดอนตูม,10.10.54.75,NE08E-S6,12,C3,DOT,,,,,
,510,C3_SS_NCB_NE08_1,New_C3_SS_NCB_NE08_1,สฟฟ.นครชัยศรี 2,สฟฟ.นครชัยศรี 2,สฟฟ.นครชัยศรี 2,10.10.54.76,NE08E-S6E,12,C3,NCB,,,,,
,511,C3_SS_DOT_NE08_1,New_C3_SS_DOT_NE08_1,สฟฟ.ดอนตูม,สฟฟ.ดอนตูม,สฟฟ.ดอนตูม,10.10.54.77,NE08E-S6E,12,C3,DOT,,,,,
,512,C3_SS_NPV_NE08_1,New_C3_SS_NPV_NE08_1,สฟฟ.นครปฐม 3,สฟฟ.นครปฐม 3,สฟฟ.นครปฐม 3,10.10.54.78,NE08E-S6E,12,C3,NPV,,,,,
,513,C3_EO_KYI_NE8K_1,New_C3_EO_KYI_NE8K_1,กฟย.กรับใหญ่,กฟย.กรับใหญ่,กฟย.กรับใหญ่,10.10.54.79,NetEngine 8000 M6,12,C3,KYI,,,,,
,514,C3_SS_SPA_NE08_1,C3_SS_SPA_NE08_1,สฟฟ.สุพรรณบุรี(ES.Suphan Buri),สฟฟ.สุพรรณบุรี,สฟฟ.สุพรรณบุรี,10.10.54.8,NE08E-S6,11,C3,SPA,,,,,
,515,C3_SS_BPC_NE8K_1,New_C3_SS_BPC_NE8K_1,สฟฟ.บ้านโป่ง 3 (แทรกกลาง),สฟฟ.บ้านโป่ง 3 (แทรกกลาง),สฟฟ.บ้านโป่ง 3,10.10.54.80,NetEngine 8000 M6,12,C3,BPC,,,,,
,516,C3_SS_TMU_NE8K_1,New_C3_SS_TMU_NE8K_1,สฟฟ.ท่ามะกา2,สฟฟ.ท่ามะกา2,สฟฟ.ท่ามะกา 2,10.10.54.81,NetEngine 8000 M6,12,C3,TMU,,,,,
,517,C3_SS_BEB_NE8K_1,New_C3_SS_BEB_NE8K_1,สฟฟ.บางเลน2 (แทรกกลาง),สฟฟ.บางเลน2 (แทรกกลาง),สฟฟ.บางเลน 2,10.10.54.82,NetEngine 8000 M6,12,C3,BEB,,,,,
,518,C3_SS_BEC_NE08_1,C3_SS_BEC_NE08_1,สฟฟ.บางเลน 3 (ชค),สฟฟ.บางเลน 3 (ชค),สฟฟ.บางเลน 3 (ชค),10.10.54.83,NE08E-S6,13,C3,BEC,,,,,
,519,C3_EO_BGM_NE08_1,C3_EO_BPM_NE08_1,กฟอ.บางปลาม้า(DE.Bangplama),กฟอ.บางปลาม้า,กฟอ.บางปลาม้า,10.10.54.9,NE08E-S6,11,C3,BPM,,,,,
,520,C3_EO_KCA_NE08_1,C3_EO_KCA_NE8K_1,กฟจ.กาญจนบุรี ,กฟจ.กาญจนบุรี ,กฟจ.กาญจนบุรี,10.10.55.1,NetEngine 8000 M6,11,C3,KCA,,,,,
,521,C3_SS_KCB_NE08_1,New_C3_SS_KCB_NE08_1,สฟฟ.กาญจนบุรี 2,สฟฟ.กาญจนบุรี 2,สฟฟ.กาญจนบุรี 2,10.10.55.10,NE08E-S6E,15,C3,KCB,,,,,
,522,C3_EO_LYA_NE08_1,New_C3_EO_LYA_NE08_1,กฟส.ลาดหญ้า,กฟส.ลาดหญ้า,กฟส.ลาดหญ้า,10.10.55.11,NE08E-S6E,15,C3,LYA,,,,,
,523,C3_EO_VLA_NE08_1,New_C3_EO_TPM_NE08_1,กฟส.ทองผาภูมิ,กฟส.ทองผาภูมิ,กฟส.ทองผาภูมิ,10.10.55.12,NE08E-S6E,15,C3,TPM,,,,,
,524,C3_EO_BPA_NE08_1,New_C3_EO_BPA_NE08_1,กฟอ.บ้านโป่ง,กฟอ.บ้านโป่ง,กฟอ.บ้านโป่ง,10.10.55.13,NE08E-S6E,15,C3,BPA,,,,,
,525,C3_EO_NOM_NE08_1,New_C3_EO_NOM_NE08_1,กฟย.หนองปลาหมอ,กฟย.หนองปลาหมอ,กฟย.หนองปลาหมอ,10.10.55.14,NE08E-S6E,15,C3,NOM,,,,,
,526,C3_SS_BPB_NE08_3,New_C3_SS_BPB_NE08_3,สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,10.10.55.15,NE08E-S6,15,C3,BPB,,,,,
,527,C3_SS_TMK_NE08_2,New_C3_SS_TMK_NE08_2,สฟฟ.ท่ามะกา,สฟฟ.ท่ามะกา,สฟฟ.ท่ามะกา,10.10.55.16,NE08E-S6,15,C3,TMK,,,,,
,528,C3_WH_KCI_NE08_2,C3_WH_KCI_NE08_2,คลังพัสดุกาญจนบุรี,คลังพัสดุกาญจนบุรี,คลังพัสดุกาญจนบุรี,10.10.55.17,NE08E-S6,11,C3,KCI,,,,,
,529,C3_EO_DMA_NE08_1,C3_EO_DMA_NE8K_1,กฟย.ด่านมะขามเตี้ย,กฟย.ด่านมะขามเตี้ย,กฟส.ด่านมะขามเตี้ย,10.10.55.18,NetEngine 8000 M6,15,C3,DMA,,,,,
,530,C3_SS_NOM_NE08_1,New_C3_SS_NOM_NE08_1,สฟฟ.หนองปลาหมอ,สฟฟ.หนองปลาหมอ,สฟฟ.หนองปลาหมอ,10.10.55.19,NE08E-S6E,15,C3,NOM,,,,,
,531,C3_EO_CCPKB_NE08_1,New_C3_EO_CCPKB_NE08_1,โรงหล่อท่าม่วง,โรงหล่อท่าม่วง,โรงหล่อท่าม่วง,10.10.55.2,NE08E-S6E,15,C3,CCP,,,,,
,532,C3_EO_TSR_NE80_1,New_C3_EO_TSR_NE08_1,กฟย.บ้านตลาดสำรอง,กฟย.บ้านตลาดสำรอง,กฟย.บ้านตลาดสำรอง,10.10.55.20,NE08E-S6E,15,C3,TSR,,,,,
,533,C3_EO_TKD_NE80_1,New_C3_EO_TKD_NE08_1,กฟย.ท่ากระดาน,กฟย.ท่ากระดาน,กฟย.ท่ากระดาน,10.10.55.21,NE08E-S6E,15,C3,TKD,,,,,
,534,C3_SS_TMB_NE8K_1,C3_SS_TMB_NE08_1,สฟฟ.ท่าม่วง 2 (แทรกกลาง),สฟฟ.ท่าม่วง 2 (แทรกกลาง),สฟฟ.ท่าม่วง 2,10.10.55.22,NE08E-S6E,15,C3,TMB,,,,,
,535,C3_EO_SYA_NE8K_1,New_C3_EO_SYA_NE8K_1,กฟอ.ไทรโยค (แทรกกลาง),กฟอ.ไทรโยค (แทรกกลาง),กฟอ.ไทรโยค,10.10.55.23,NetEngine 8000 M6,15,C3,SYA,,,,,
,536,C3_EO_SKB_NE8K_1,New_C3_EO_SKB_NE8K_1,กฟย.สังขละบุรี,กฟย.สังขละบุรี,กฟย.สังขละบุรี,10.10.55.24,NetEngine 8000 M6,15,C3,SKB,,,,,
,537,C3_SS_KCC_NE8K_1,C3_SS_KCC_NE08_1,สฟฟ.กาญจนบุรี 3 (แทรกกลาง),สฟฟ.กาญจนบุรี 3 (แทรกกลาง),สฟฟ.กาญจนบุรี 3,10.10.55.25,NE08E-S6E,15,C3,KCC,,,,,
,538,C3_EO_SSW_NE8K_1,C3_EO_SSW_NE8K_1,กฟย.ศรีสวัสดิ์,กฟย.ศรีสวัสดิ์,กฟย.ศรีสวัสดิ์,10.10.55.26,NetEngine 8000 M6,15,C3,SSW,,,,,
,539,C3_SS_KCD_NE08_1,C3_SS_KCD_NE08_1,สฟฟ.กาญจนบุรี 4,สฟฟ.กาญจนบุรี 4,สฟฟ.กาญจนบุรี 4,10.10.55.27,NE08E-S6E,15,C3,KCD,,,,,
,540,C3_EO_TMK_NE08_1,New_C3_EO_TMK_NE08_1,กฟอ.ท่ามะกา,กฟอ.ท่ามะกา,กฟส.ท่ามะกา,10.10.55.3,NE08E-S6E,15,C3,TMK,,,,,
,541,C3_EO_TAR_NE08_1,New_C3_EO_TAR_NE08_1,กฟอ.ท่าเรือ,กฟอ.ท่าเรือ,กฟส.ท่าเรือ,10.10.55.4,NE08E-S6E,15,C3,TAR,,,,,
,542,C3_EO_TMA_NE08_1,New_C3_EO_TMA_NE08_1,กฟอ.ท่าม่วง,กฟอ.ท่าม่วง,กฟส.ท่าม่วง,10.10.55.5,NE08E-S6E,15,C3,TMA,,,,,
,543,C3_SS_TMA_NE08_1,New_C3_SS_TMA_NE08_1,สฟฟ.ท่าม่วง,สฟฟ.ท่าม่วง,สฟฟ.ท่าม่วง,10.10.55.6,NE08E-S6E,15,C3,TMA,,,,,
,544,C3_SS_BNP_NE08_1,C3_SS_BNP_NE08_1,สฟฟ.บ้านแพ้ว,สฟฟ.บ้านแพ้ว,สฟฟ.บ้านแพ้ว,10.10.55.65,NE08E-S6,21,C3,BNP,,,,,
,545,C3_SS_THS_NE08_1,C3_SS_THS_NE08_1_Ph.1,สฟฟ.ท่าทราย,สฟฟ.ท่าทราย1,สฟฟ.ท่าทราย 1,10.10.55.66,NE08E-S6,21,C3,THS,,,,,
,546,C3_SS_SME_NE08_1,C3_SS_SME_NE08_1_Ph.2,สฟฟ.สมุทรสาคร 5,สฟฟ.สมุทรสาคร 5,สฟฟ.สมุทรสาคร 5,10.10.55.67,NE08E-S6E,21,C3,SME,,,,,
,547,C3_SS_SMB_NE08_1,C3_SS_SMB_NE08_1_Ph.2,สฟฟ.สมุทรสาคร 2,สฟฟ.สมุทรสาคร 2,สฟฟ.สมุทรสาคร 2,10.10.55.68,NE08E-S6E,21,C3,SMB,,,,,
,548,C3_EO_KGL_NE8K_1,C3_EO_KGL_NE8K_1_Ph.4,กฟย.กาหลง,กฟย.กาหลง,กฟย.ต.กาหลง,10.10.55.69,NetEngine 8000 M6,21,C3,KGL,,,,,
,549,C3_SS_SYA_NE08_1,New_C3_SS_SYA_NE08_1,สฟฟ.ไทรโยค,สฟฟ.ไทรโยค,สฟฟ.ไทรโยค,10.10.55.7,NE08E-S6E,15,C3,SYA,,,,,
,550,C3_SS_SMK_NE8K_1,C3_SS_SMZ_NE8K_1,สฟฟ.สมุทรสาคร 11,สฟฟ.สมุทรสาคร 11,สฟฟ.สมุทรสาคร 11,10.10.55.70,NetEngine 8000 M6,21,C3,SMK,,,,,
,551,C3_EO_SMA_NE8K_1,C3_EO_SMA_NE8K_1_PH.4,กฟจ.สมุทรสาคร,กฟจ.สมุทรสาคร,กฟจ.สมุทรสาคร,10.10.55.71,NetEngine 8000 M6,21,C3,SMA,,,,,
,552,C3_SS_SMD_NE08_1,C3_SS_SMD_NE08_1_Ph1,สฟฟ.สมุทรสาคร 4,สฟฟ.สมุทรสาคร 4,สฟฟ.สมุทรสาคร 4,10.10.55.72,NE08E-S6,21,C3,SMD,,,,,
,553,C3_SS_SMF_NE08_1,C3_SS_SMF_NE08_1_Ph.2,สฟฟ.สมุทรสาคร 6,สฟฟ.สมุทรสาคร 6,สฟฟ.สมุทรสาคร 6,10.10.55.73,NE08E-S6E,21,C3,SMF,,,,,
,554,C1_SS_SXA_NE08_1,C3_SS_SXA_NE08_1_Ph.2,สฟฟ.สินสาคร,สฟฟ.สินสาคร,สฟฟ.สินสาคร,10.10.55.74,NE08E-S6E,21,C3,SXA,,,,,
,555,C3_EO_KKH_NE8K_1,C3_EO_KKH_NE8K_1_Ph4,กฟส.โคกขาม,กฟส.โคกขาม,กฟส.โคกขาม,10.10.55.75,NetEngine 8000 M6,21,C3,KKH,,,,,
,556,C3_SS_EKA_NE08_1,C3_SS_EKA_NE8K_1,สฟฟ.เอกชัย 1,สฟฟ.เอกชัย 1,สฟฟ.เอกชัย 1,10.10.55.76,NetEngine 8000 M6,21,C3,EKA,,,,,
,557,C3_SS_EKB_NE08_1,C3_SS_EKB_NE08_1,สฟฟ.เอกชัย 2,สฟฟ.เอกชัย 2,สฟฟ.เอกชัย 2,10.10.55.77,NE08E-S6E,13,C3,EKB,,,,,
,558,C3_SS_SMH_NE8K_1,C3_SS_SMH_NE8K_1_Ph4,สฟฟ.สมุทรสาคร 8 (แทรกกลาง),สฟฟ.สมุทรสาคร 8 (แทรกกลาง),สฟฟ.สมุทรสาคร 8,10.10.55.78,NetEngine 8000 M6,13,C3,SMH,,,,,
,559,C3_SS_SMC_NE08_1,C3_SS_SMC_NE08_1,สฟฟ.สมุทรสาคร 3,สฟฟ.สมุทรสาคร 3,สฟฟ.สมุทรสาคร 3,10.10.55.79,NE08E-S6,21,C3,SMC,,,,,
,560,C3_SS_KCA_NE08_1,New_C3_SS_KCA_NE08_1,สฟฟ.กาญจนบุรี 1,สฟฟ.กาญจนบุรี 1,สฟฟ.กาญจนบุรี 1,10.10.55.8,NE08E-S6E,15,C3,KCA,,,,,
,561,C3_SS_SML_NE8K_1,C3_SS_SML_NE8K_1_Ph4,สฟฟ.สมุทรสาคร 12 (แทรกกลาง),สฟฟ.สมุทรสาคร 12 (แทรกกลาง),สฟฟ.สมุทรสาคร 12,10.10.55.80,NetEngine 8000 M6,13,C3,SML,,,,,
,562,C3_SS_SMI_NE08_1,C3_SS_SMI_NE08_1_Ph2,สฟฟ.สมุทรสาคร 9,สฟฟ.สมุทรสาคร 9,สฟฟ.สมุทรสาคร 9,10.10.55.81,NE08E-S6E,13,C3,SMI,,,,,
,563,C3_SS_KTB_NE08_1,C3_SS_KTB_NE08_1,สฟฟ.กระทุ่มแบน 2,สฟฟ.กระทุ่มแบน 2,สฟฟ.กระทุ่มแบน 2,10.10.55.82,NE08E-S6,21,C3,KTB,,,,,
,564,C3_SS_KTU_NE8K_1,C3_SS_KTU_NE8K_1_Ph4,สฟฟ.กระทุ่มแบน  6,สฟฟ.กระทุ่มแบน  6,สฟฟ.กระทุ่มแบน 6,10.10.55.83,NetEngine 8000 M6,13,C3,KTU,,,,,
,565,C3_SS_KTA_NE08_2,C3_SS_KTA_NE08_2,สฟฟ.กระทุ่มแบน 1,สฟฟ.กระทุ่มแบน 1,สฟฟ.กระทุ่มแบน 1,10.10.55.84,NE08E-S6,21,C3,KTA,,,,,
